date,high,low,open,close,Volume
1496431800000,2335.0,2130.0,2335.0,2247.0,171688579
1496691000000,2295.0,2259.0,2290.0,2259.0,77577364
1496777400000,2288.0,2061.0,2288.0,2200.0,524613299
1497036600000,2199.0,2100.0,2150.0,2100.0,129397500
1497123000000,2077.0,1901.0,2056.0,1918.0,715313986
1497209400000,1910.0,1755.0,1900.0,1810.0,1347884977
1497295800000,1979.0,1802.0,1898.0,1910.0,496580681
1497382200000,2047.0,1939.0,1962.0,2045.0,361786076
1497641400000,2193.0,2069.0,2069.0,2193.0,1069611037
1497727800000,2400.0,2250.0,2346.0,2340.0,2859926593
1497814200000,2390.0,2163.0,2390.0,2233.0,911157802
1497900600000,2298.0,2052.0,2298.0,2073.0,894160322
1497987000000,2218.0,2015.0,2109.0,2080.0,393945661
1498246200000,2137.0,2017.0,2035.0,2017.0,298970762
1498332600000,2200.0,2000.0,2050.0,2105.0,1063157967
1498591800000,2310.0,2090.0,2198.0,2090.0,804727340
1498851000000,2200.0,2070.0,2200.0,2099.0,552464887
1498937400000,2129.0,2015.0,2129.0,2015.0,845734020
1499023800000,2115.0,2049.0,2076.0,2049.0,829651731
1499110200000,2080.0,2015.0,2023.0,2015.0,551762453
1499196600000,2118.0,2022.0,2030.0,2022.0,512040247
1499455800000,2003.0,1950.0,2001.0,1958.0,572975825
1499542200000,1999.0,1945.0,1950.0,1945.0,389691553
1499628600000,2070.0,1941.0,1941.0,2070.0,1127419161
1506285000000,1994.0,1901.0,1994.0,1901.0,920922558
1506457800000,1985.0,1900.0,1985.0,1900.0,412081665
1506889800000,1966.0,1966.0,1966.0,1966.0,3587950
1507062600000,1898.0,1898.0,1898.0,1898.0,85328386
1507321800000,1899.0,1700.0,1899.0,1700.0,110734738
1507494600000,1600.0,1500.0,1500.0,1600.0,818839000
1508099400000,1606.0,1600.0,1600.0,1606.0,235557200
1508272200000,1744.0,1744.0,1744.0,1744.0,175830080
1508531400000,1602.0,1602.0,1602.0,1602.0,615305772
1508704200000,1699.0,1602.0,1602.0,1699.0,396716266
1508877000000,2200.0,1700.0,1700.0,2200.0,3522071700
1509136200000,2700.0,2200.0,2200.0,2700.0,6076329800
1509309000000,3550.0,3110.0,3110.0,3550.0,9967686440
1509481800000,3997.0,3333.0,3333.0,3997.0,6409667111
1509741000000,4500.0,3899.0,4500.0,3899.0,6130984446
1509913800000,3560.0,3500.0,3500.0,3560.0,5273328700
1510086600000,3500.0,3000.0,3500.0,3000.0,1662601500
1510345800000,3100.0,2700.0,3100.0,2700.0,1275555800
1510518600000,3000.0,2662.0,2662.0,3000.0,1628068238
1510691400000,3090.0,3000.0,3000.0,3090.0,2267216430
1510950600000,3100.0,3100.0,3100.0,3100.0,5070453000
1511123400000,3299.0,3148.0,3299.0,3148.0,4703913821
1511296200000,3100.0,2901.0,3100.0,2901.0,762753715
1511555400000,3070.0,2701.0,3070.0,2701.0,1722846510
1511901000000,2780.0,2780.0,2780.0,2780.0,2713266100
1512160200000,2581.0,2555.0,2555.0,2581.0,617325777
1512333000000,2750.0,2700.0,2700.0,2750.0,821915250
1512765000000,2900.0,2651.0,2900.0,2651.0,661375750
1512937800000,2655.0,2611.0,2611.0,2655.0,2166562578
1513110600000,2880.0,2701.0,2880.0,2701.0,694802443
1513369800000,2500.0,2222.0,2222.0,2500.0,5524021040
1513542600000,2580.0,2580.0,2580.0,2580.0,1156655280
1513715400000,2690.0,2690.0,2690.0,2690.0,2957364480
1513974600000,2850.0,2840.0,2850.0,2840.0,416140520
1514147400000,2980.0,2940.0,2980.0,2940.0,2221248460
1514320200000,2900.0,2775.0,2900.0,2775.0,1356721450
1514579400000,2700.0,2690.0,2700.0,2690.0,2549452200
1514752200000,2850.0,2520.0,2850.0,2520.0,305796420
