date,open,Volume
1595100600000,3871.0,10260468729
1595187000000,3926.0,6875764766
1595273400000,3963.0,9915418074
1595359800000,4095.0,27602257410
1595619000000,4217.0,10753611454
1595705400000,4283.0,12369835092
1595791800000,4358.0,23790766516
1595878200000,4575.0,15830204550
1595964600000,4647.0,375645161870
1596223800000,4346.0,51430437966
1596310200000,4216.0,18789502008
1596396600000,4006.0,13688181520
1596483000000,3934.0,8602973484
1596569400000,3877.0,10412691520
1596915000000,3807.0,12402372267
1597001400000,3657.0,11535809022
1597087800000,3619.0,1684105269
1597174200000,3609.0,4633075404
1597433400000,3582.0,1948235472
1597519800000,3497.0,1376377236
1597606200000,3558.0,1666282560
1597692600000,3549.0,4176232515
1597779000000,3525.0,1810665600
1598038200000,3443.0,3128227168
1598124600000,3487.0,243228711
1598211000000,3486.0,945838950
1598297400000,3481.0,2049497927
1598383800000,3399.0,10968644379
1598815800000,3369.0,3269115888
1598902200000,3352.0,528603696
1598988600000,3349.0,507879199
1599247800000,3277.0,655154225
1599334200000,3340.0,340035380
1599420600000,3338.0,102960610
1599507000000,3337.0,168278236
1599593400000,3268.0,550481528
1599852600000,3331.0,2194089728
1599939000000,3320.0,524918560
1600025400000,3317.0,1464793834
1601325000000,3306.0,2297474946
1601411400000,3295.0,557055995
1601670600000,3292.0,562151796
1601757000000,3289.0,362033386
1601843400000,3219.0,747706101
1602016200000,3280.0,1596815520
1602275400000,3272.0,611530256
1602361800000,3269.0,1034815026
1602448200000,3197.0,324923898
1602534600000,3262.0,181184528
1602621000000,3261.0,147472203
1602966600000,3260.0,297504340
1603053000000,3191.0,74988500
1603139400000,3257.0,178063447
1603225800000,3256.0,232357928
1603485000000,3255.0,375155025
1603657800000,3186.0,855871110
1603744200000,3245.0,98161250
1603830600000,3244.0,493412400
1604089800000,3241.0,8324735370
1604176200000,3134.0,807352874
1604262600000,3193.0,74403286
1604435400000,3193.0,225269343
1604694600000,3192.0,78599808
1604781000000,3126.0,67209000
1604867400000,3191.0,7977500
1604953800000,3191.0,25049350
1605040200000,3191.0,76418068
1605299400000,3125.0,747587500
1605385800000,3185.0,135681000
1605472200000,3184.0,58248096
1605558600000,3184.0,380083632
1605645000000,3116.0,3473476868
1605904200000,3153.0,965240502
1605990600000,3148.0,100490456
1606077000000,3147.0,104795100
1606163400000,3081.0,293628543
1606249800000,3143.0,171988103
1606509000000,3142.0,115911522
1606595400000,3141.0,570148038
1606681800000,3074.0,13562223636
1606768200000,3027.0,607164741
1606854600000,3024.0,190412208
1607113800000,3023.0,801019425
1607200200000,2957.0,564796080245
1607286600000,3120.0,98186486702
1607373000000,3000.0,3804093000
1607459400000,2982.0,371345995213
1607718600000,3196.0,157622712420
1607805000000,3035.0,60949791116
1607891400000,2938.0,87751555266
1607977800000,2884.0,5671143744
1608064200000,2799.0,8096552541
1608323400000,2794.0,9874744792
1608409800000,2751.0,1529943891
1608496200000,2745.0,1094371110
1608582600000,2710.0,158780187345
1608669000000,2972.0,150708687833
1608928200000,2835.0,19644516160
1609014600000,2669.0,5162788157
1609101000000,2593.0,130939147814
1609187400000,2628.0,40352701489
1609273800000,2551.0,6245818565
1609533000000,2489.0,1418958988
1609619400000,2483.0,4192490874
1609705800000,2420.0,122391411791
1609792200000,2549.0,63460971922
1609878600000,2570.0,15622148379
1610137800000,2417.0,3290747917
1610224200000,2404.0,64813094798
1610310600000,2350.0,43544142692
1610397000000,2286.0,7896074670
1610483400000,2257.0,1107918417
1610742600000,2206.0,1070412968
1610915400000,2246.0,177494642
1611001800000,2245.0,454152275
1611088200000,2243.0,1796124867
1611347400000,2191.0,97988535051
1611433800000,2192.0,21197620658
1611520200000,2141.0,1090625400
1611606600000,2137.0,737250041
1611693000000,2090.0,3212171160
1611952200000,2116.0,60398203623
1612038600000,2068.0,14834792655
1612125000000,2023.0,978367306
1612211400000,1978.0,2621053734
1612297800000,2005.0,697306920
1612557000000,2004.0,377551596
1612643400000,2003.0,1647745917
1612729800000,1957.0,3186160388
1612816200000,1981.0,865877271
1613161800000,1999.0,1749474825
1613248200000,1995.0,961981020
1613334600000,1952.0,316883776
1613421000000,1992.0,101378856
1613507400000,1992.0,380591520
1613766600000,1991.0,130432401
1613853000000,1950.0,98492550
1613939400000,1991.0,202741539
1614025800000,1991.0,175538506
1614112200000,1991.0,20208650
1614371400000,1950.0,10461219600
1614457800000,1948.0,178727052
1614544200000,1948.0,436755236
1614630600000,1947.0,115270188
1614717000000,1907.0,176216335
1614976200000,1946.0,104784316
1615062600000,1946.0,114655998158
1615149000000,1913.0,65276475772
1615235400000,1902.0,3863192760
1615321800000,1893.0,211627935
1615581000000,1893.0,517235748
1615667400000,1853.0,5569560247
1615753800000,1870.0,410347190
1615840200000,1869.0,11639447904
1615926600000,1848.0,3793832604
1616787000000,1803.0,13561413029
1616873400000,1803.0,4599985315
1617046200000,1784.0,6049480220
1617132600000,1772.0,2951841900
1617391800000,1730.0,5139906980
1617478200000,1748.0,209195396
1617564600000,1748.0,57087932
1617651000000,1748.0,665068552
1617737400000,1711.0,190335062
1617996600000,1746.0,22698000
1618083000000,1746.0,7979220
1618169400000,1746.0,64259784
1618255800000,1710.0,995134500
1618342200000,1742.0,17420000
1618601400000,1742.0,23179052
1618687800000,1742.0,45096896
1618774200000,1706.0,86541968
1618860600000,1742.0,210085200
1618947000000,1742.0,8710000
1619206200000,1742.0,5030896
1619292600000,1706.0,170600000
1619379000000,1741.0,21106143
1619465400000,1741.0,332914020
