conversion_line,base_line,lagging_span,leading_line1,leading_line2
9144.99,9141.03,9155.77,9123.74,9149.1
9144.99,9141.03,9153.89,9123.24,9148.615
9170.2,9157.265,9124.94,9114.148,9148.615
9170.2,9159.795,9124.41,9107.515,9148.615
9171.59,9160.15,9132.32,9106.265,9148.615
9171.61,9160.15,9127.04,9108.032,9148.615
9171.61,9170.2,9131.3,9133.195,9148.615
9171.61,9170.2,9119.89,9133.195,9148.615
9171.61,9170.2,9148.15,9134.55,9148.115
9171.61,9170.2,9150.94,9134.72,9147.625
9186.36,9170.2,9156.54,9139.675,9147.625
9175.46,9170.2,9165.44,9140.94,9147.625
9173.96,9170.2,9165.39,9141.118,9147.625
9173.96,9170.2,9170.01,9141.118,9142.26
9173.96,9170.2,9185.76,9147.868,9142.26
9173.96,9170.2,9208.99,9146.16,9142.26
9173.96,9170.2,9187.96,9146.16,9142.26
9173.96,9170.2,9177.55,9146.16,9142.26
9173.96,9170.2,9188.72,9146.16,9142.26
9173.96,9170.2,9191.99,9146.16,9140.71
9170.19,9170.2,9180.28,9144.435,9136.7
9160.585,9171.59,9193.86,9144.435,9136.7
9160.585,9171.61,9180.59,9144.435,9136.7
9160.03,9171.61,9180.72,9141.655,9136.7
9160.03,9171.61,9188.31,9141.655,9132.035
9159.8,9171.61,9184.0,9143.01,9132.035
9158.99,9171.61,9155.34,9143.01,9128.625
9135.675,9160.325,9147.75,9163.732,9133.275
9130.675,9150.675,9162.38,9164.998,9133.275
9130.675,9150.675,9148.4,9165.87,9133.275
9129.73,9150.675,9169.99,9165.88,9133.275
9129.73,9150.675,9173.75,9170.905,9133.275
9129.64,9150.675,9175.64,9170.905,9144.305
9136.23,9150.675,9192.06,9170.905,9144.305
9136.23,9150.675,9180.48,9170.905,9144.305
9136.23,9150.675,9158.65,9178.28,9144.645
9140.555,9150.675,9172.08,9172.83,9154.555
9140.845,9150.675,9167.48,9172.08,9154.555
9146.66,9141.07,9164.8,9172.08,9154.555
9160.525,9153.045,9160.78,9172.08,9154.555
9174.29,9166.81,9170.24,9172.08,9154.555
9174.29,9166.81,9178.56,9172.08,9154.555
9184.655,9166.81,9178.56,9172.08,9154.555
9188.525,9166.81,9180.83,9172.08,9154.555
9189.895,9166.81,9175.06,9172.08,9154.555
9192.77,9166.81,9189.53,9170.195,9154.555
9193.475,9166.81,9197.0,9166.088,9154.555
9197.36,9166.81,9315.29,9166.098,9154.555
9201.745,9166.81,9310.76,9165.82,9154.555
9196.37,9166.81,9315.29,9165.82,9154.555
9182.765,9166.81,9347.6,9165.705,9154.555
9162.655,9166.81,9344.63,9165.3,9157.265
9162.655,9166.81,9367.57,9148.0,9157.265
9162.655,9171.135,9408.98,9140.675,9157.265
9162.655,9171.135,9377.04,9140.675,9159.795
9162.43,9174.29,9338.0,9140.202,9160.15
9160.5,9174.29,9356.38,9140.202,9160.15
9160.5,9174.29,9365.26,9140.158,9160.325
9167.3,9174.29,9387.14,9143.452,9160.325
9167.3,9181.635,9354.35,9143.452,9160.325
9172.21,9181.635,9371.5,9143.452,9160.325
9172.21,9181.635,9375.88,9145.615,9160.325
9172.395,9181.635,9378.05,9145.76,9160.325
9172.395,9181.635,9390.0,9143.865,9160.325
9172.395,9181.635,9357.68,9156.785,9160.325
9172.395,9181.635,9363.61,9170.55,9166.81
9172.395,9176.26,9366.02,9170.55,9166.81
9169.745,9167.3,9359.06,9175.733,9166.81
9168.3,9167.3,9345.69,9177.668,9166.81
9168.3,9167.3,9342.65,9178.352,9166.81
9174.095,9169.0,9335.52,9179.79,9166.81
9179.34,9169.0,9302.0,9180.143,9166.81
9252.9,9242.0,9310.56,9182.085,9166.81
9252.9,9242.0,9315.39,9184.278,9166.81
9258.68,9242.0,9338.0,9181.59,9166.81
9258.68,9242.0,9344.68,9174.788,9166.81
9258.68,9242.0,9328.99,9164.732,9166.81
