time,open,volume
1584370800000,4938.68,60832874
1584374400000,5151.39,44119667.44
1584378000000,5011.13,19865783.27
1584381600000,5068.73,20300725.5
1584385200000,5119.03,48045575.27
1584388800000,4939.25,34801168.03
1584392400000,4898.33,15663345.93
1584396000000,4962,28416173.98
1584399600000,4921.88,20513470.48
1584403200000,5028.97,27704134.65
1584406800000,5070.72,79434780.44
1584410400000,5189.21,37780224.16
1584414000000,5281.58,32578740.07
1584417600000,5311.16,25832661.72
1584421200000,5262.76,16273725.21
1584424800000,5276.13,19455712.73
1584428400000,5272.23,39217135.26
1584432000000,5343.72,42073747.47
1584435600000,5285.01,36135651.5
1584439200000,5228.02,20873244.67
1584442800000,5293.45,22877751.24
1584446400000,5267.61,30433495.23
1584450000000,5206.25,49535089.41
1584453600000,5090.11,42345031.92
1584457200000,5229.21,44112869.91
1584460800000,5362.99,55847309.66
1584464400000,5348.37,22921399.14
1584468000000,5354.49,27836760.59
1584471600000,5367.79,22303337.59
1584475200000,5375.11,25260855.87
1584478800000,5429.54,36303493.86
1584482400000,5426.06,17305125.08
1584486000000,5424.75,18705630.86
1584489600000,5312.64,27991299.06
1584493200000,5355.78,11906033.3
1584496800000,5365.22,10840195.54
1584500400000,5373.02,12868685.59
1584504000000,5394.15,11138542.79
1584507600000,5418.65,23517115.4
1584511200000,5270,39487513.74
1584514800000,5255.29,31913939.92
1584518400000,5148.73,29308694.99
1584522000000,5173,25330910.13
1584525600000,5143.13,39878161.04
1584529200000,5082.4,19220646.15
1584532800000,5140.39,18902519.22
1584536400000,5112.98,92185956.95
1584540000000,5340.82,51329623.44
1584543600000,5301.06,41991050.75
1584547200000,5328.89,59280539.35
1584550800000,5199.59,39210779.12
1584554400000,5225.23,22194393
1584558000000,5316.82,24723165.66
1584561600000,5328.51,27609323.43
1584565200000,5318.91,11937648.38
1584568800000,5353.23,27417386.36
1584572400000,5340.23,19563999.15
1584576000000,5393.04,35756457.21
1584579600000,5347.31,15083363.6
1584583200000,5355.88,21598253.11
1584586800000,5285.9,17211592.52
1584590400000,5286.84,13119431.83
1584594000000,5301.21,15415030.49
1584597600000,5368.18,23131350.91
1584601200000,5374.51,23704398.73
1584604800000,5414.19,25430373.21
1584608400000,5408.28,66223952.98
1584612000000,5593.53,59079448.34
1584615600000,5560.91,30278858.41
1584619200000,5621.86,91609388.96
1584622800000,5848.68,91012617.33
1584626400000,5842.96,47219858.45
1584630000000,5808.5,49808362.7
1584633600000,5895.1,182494701.83
1584637200000,6164.03,95529618.45
1584640800000,6308.45,74941017.79
1584644400000,6137,48579651.88
1584648000000,6215.57,21835023.38
1584651600000,6237.08,20182601.86
1584655200000,6237.16,52241132.92
1584658800000,6278.63,43253220.61
1584662400000,6162.37,28500022.8
1584666000000,6219.15,33957364.47
1584669600000,6160.5,18843416.52
1584673200000,6150.04,14327846.96
1584676800000,6156.35,20311348.97
1584680400000,6199.84,20977407.78
1584684000000,6218.72,18814019.35
1584687600000,6240,32667458.69
1584691200000,6318.39,139152357.95
1584694800000,6601.45,72303695.43
1584698400000,6756.62,106629565.21
