adx,DI_plus,DI_minus
30.43,0.2,0.71
30.14,0.48,0.67
27.55,0.55,0.62
24.41,0.51,0.58
23.98,0.47,0.61
23.28,0.47,0.57
21.62,0.46,0.53
20.41,0.58,0.49
19.63,0.54,0.45
19.32,0.5,0.42
17.98,0.46,0.46
15.97,0.43,0.43
13.81,0.4,0.44
10.53,0.41,0.41
7.05,0.38,0.44
7.21,0.35,0.52
8.09,0.33,0.48
9.49,0.3,0.52
9.49,0.38,0.49
8.88,0.46,0.45
8.44,0.43,0.42
8.62,0.4,0.5
8.8,0.37,0.46
9.6,0.34,0.51
10.18,0.4,0.48
10.77,0.37,0.44
12.0,0.35,0.55
14.33,0.32,0.64
16.51,0.3,0.67
18.78,0.29,0.88
19.19,0.5,0.82
19.07,0.46,0.77
20.84,0.43,0.95
22.53,0.54,0.89
23.83,0.56,0.83
24.38,0.52,0.77
24.98,0.49,0.72
25.67,0.45,0.83
27.15,0.42,0.77
29.57,0.39,0.97
31.01,0.37,0.91
32.21,0.34,1.03
33.44,0.32,1.11
33.55,0.33,1.04
33.8,0.54,0.97
33.88,0.53,0.9
32.48,0.58,0.84
30.98,0.73,0.78
29.71,0.7,0.72
28.42,0.68,0.67
27.35,0.63,0.69
25.93,0.58,0.71
24.43,0.55,0.65
22.42,0.51,0.68
19.66,0.59,0.63
16.38,0.54,0.59
13.35,0.5,0.65
10.85,0.47,0.66
10.12,0.43,0.62
10.29,0.4,0.72
10.52,0.43,0.67
11.81,0.4,0.62
14.05,0.37,0.73
16.77,0.35,0.79
17.18,0.6,0.74
17.5,0.56,0.74
18.3,0.52,0.77
18.95,0.48,0.78
20.88,0.45,0.85
22.82,0.42,0.8
24.82,0.39,0.93
27.46,0.37,1.26
28.05,0.69,1.19
27.35,0.76,1.11
27.23,0.71,1.05
27.48,0.66,1.1
27.03,0.61,1.05
26.65,0.57,1.15
28.52,0.53,1.15
30.63,0.5,1.28
32.36,0.47,1.2
34.13,0.44,1.27
34.94,0.48,1.18
36.08,0.45,1.24
34.66,0.76,1.15
32.26,0.71,1.08
32.02,0.66,1.05
32.13,0.65,0.97
32.04,0.62,0.9
31.57,0.57,0.83
31.61,0.53,0.92
31.82,0.49,1.06
32.04,0.46,1.06
30.38,0.65,0.98
28.73,0.6,0.91
27.31,0.56,1.01
26.27,0.53,0.93
24.01,0.63,0.86
22.54,0.8,0.8
21.72,0.89,0.74
20.72,0.82,0.69
19.6,0.76,0.7
18.35,0.7,0.69
17.9,0.81,0.64
16.83,0.75,0.59
14.85,0.69,0.58
13.02,0.71,0.54
13.11,0.77,0.5
13.2,0.71,0.46
13.22,0.77,0.42
13.31,0.71,0.39
